id,Title,Season,Episode,Writers,Directors,Cast,Script;;;
"1,Pilot,1,1,Alex Kurtzman,Alex Graves,""['Rick Parker as Cow Delivery Man\n\n\n\n\n\n\n\n\n \n\n\n\n\n\n\n\n\t\t\tCategories\t\t\t\n \n\n\n\n\n\n\n\n\n\n\nCategories\n', 'Katerina Taxia as Agent ', 'Jay Gladman as CDC Officer\n ', 'Bernadeta Wrobel as Flight Attendant\n\n\nJill Harland\n as \nGerman Woman\n\n\nJoan Barrett\n as \nOld Woman On Plane\n\n\nJim McGrath\n as \nOld Man On Plane\n\n\nShaun Shetty\n as \nIndian Man\n\n\nMax Topplin\n as \nAngry ', 'Omar Habib as Iraqi Business Man ', 'Kelly King as Nurse\n\n\nAndrew Hinkson\n as \nGuard\n\n\nTauqir Shah\n as \nIraqi Business Man ', 'Anna Torv as Olivia Dunham\n\n\nJoshua Jackson\n as \nPeter Bishop\n\n\nLance Reddick\n as \nPhillip Broyles\n\n\nKirk Acevedo\n as \nCharlie Francis\n\n\nMark Valley\n as \nJohn Scott\n\n\nBlair Brown\n as \nNina Sharp\n\n\nJasika Nicole\n as \nAstrid Farnsworth\n\n\nJohn Noble\n as \nDr', 'Butler Harner as Morgan Steig\n\n\nPeter Outerbridge\n as Dr', 'Peter Sawyer as Man from Denver\n\n\nJeff Topping\n as \nAgent ', 'Andreas Franke as Pilot\n\n\nDennis Mockler\n as \nCo', 'Tre Smith as Man with Gurney\n\n\nQuinn Martin\n as \nOrderly\n\n\nUncredited\n', 'Sean Clement as Agent ', 'Anousha Alamian as Agent ']"",""1 PROLOGUE 1.1 Flight 627 - A Contagious Event 2 ACT I 2.1 Turnpike Motel - A Romantic Interlude 2.2 Logan Airport Tarmac 2.3 Federal Building - The Situation Room 2.4 U-Case Storage - Chelsea, MA 2.5 Hospital 3 ACT II 3.1 Federal Building - Boston 3.2 Bagdad, Iraq - Meeting Peter 3.3 Return Flight To The United States 3.4 St. Claire's Hospital - Meeting Walter 4 ACT III 4.1 Departing St. Claire's Hospital 4.2 Hospital Hallway 4.3 Hospital Room - Skin Sample 4.4 Broyles' Office 4.5 Harvard Lab - Walter's Return 5 ACT IV 5.1 Harvard Lab - Setting Up 5.2 Harvard Lab - Peter's Background 5.3 Harvard Lab - Diagnosis 5.4 Harvard Lab - John Scott Arrives 5.5 Harvard Lab - Preparation 6 ACT V 6.1 Harvard Lab - Synaptic Transfer 6.2 Harvard Lab - Olivia's Dream 6.3 Harvard Lab - Out of the Tank 7 ACT VI 7.1 Situation Room - Federal Building 7.2 Massive Dynamic Corporate Offices 7.3 Harvard Lab - """"Sponge Bob Square Pants"""" 7.4 Olivia's Car 8 ACT VII 8.1 Arresting Richard Steig 8.2 FBI Interrogation Area 8.3 Harvard Lab - How to cure John 8.4 Broyles, Olivia and the Pattern 8.5 Harvard Lab - John Awakes 8.6 Hospital - Nurses Station 8.7 Near Steig's Apartment 8.8 Hospital - John's Room 9 ACT VIII 9.1 What John Did 9.2 Outside the Lab 9.3 A Massive Dynamic Facility";;;
1.1 Flight 627 - A Contagious Event;;;
2.1 Turnpike Motel - A Romantic Interlude 2.2 Logan Airport Tarmac 2.3 Federal Building - The Situation Room 2.4 U-Case Storage - Chelsea, MA 2.5 Hospital;;;
3.1 Federal Building - Boston 3.2 Bagdad, Iraq - Meeting Peter 3.3 Return Flight To The United States 3.4 St. Claire's Hospital - Meeting Walter;;;
4.1 Departing St. Claire's Hospital 4.2 Hospital Hallway 4.3 Hospital Room - Skin Sample 4.4 Broyles' Office 4.5 Harvard Lab - Walter's Return;;;
5.1 Harvard Lab - Setting Up 5.2 Harvard Lab - Peter's Background 5.3 Harvard Lab - Diagnosis 5.4 Harvard Lab - John Scott Arrives 5.5 Harvard Lab - Preparation;;;
6.1 Harvard Lab - Synaptic Transfer 6.2 Harvard Lab - Olivia's Dream 6.3 Harvard Lab - Out of the Tank;;;
"7.1 Situation Room - Federal Building 7.2 Massive Dynamic Corporate Offices 7.3 Harvard Lab - """"Sponge Bob Square Pants"""" 7.4 Olivia's Car";;;
8.1 Arresting Richard Steig 8.2 FBI Interrogation Area 8.3 Harvard Lab - How to cure John 8.4 Broyles, Olivia and the Pattern 8.5 Harvard Lab - John Awakes 8.6 Hospital - Nurses Station 8.7 Near Steig's Apartment 8.8 Hospital - John's Room;;;
9.1 What John Did 9.2 Outside the Lab 9.3 A Massive Dynamic Facility;;;
