Query; Doc IDs
What happened to Olivia in the cortexiphan trials?;5, 11, 15, 22, 36
What is the Pattern?;1, 2, 3, 6
Who is the Observer?;4, 10, 20, 50, 90
When did Peter cross from the other universe?;22, 31, 44
How did Walter lose his memory?;34, 77, 85
What is the Machine?;55, 58, 60, 62
How is Etta connected to Olivia and Peter?;84, 85, 86, 87, 89
Which episode shows the ambering of people?;66, 67, 83
What are shapeshifters?;10, 13, 30, 51
When do they find the beacon?;4, 29, 91
Who is Walternate?;36, 43, 44, 45, 49
When do Observers invade?;85,86
What is ZFT?;7,9,14
Who are shapeshifters?;47, 51, 54, 66
Why does September save Peter?;35, 45, 76, 84
What is the Fringe division?;
What happened to Olivia's stepfather?;67, 6, 25, 58
Who is Henry?;79, 63, 4, 44
What title does Broyles hold?;1, 3, 12, 25, 21
When was Walter arrested?;33
Who mentions Bono?;45
Where is William Bell?;18, 14, 19, 24
What animal does Walter have?;1, 29, 40, 41, 60
Why does Walter want a cow?;1
What is Amber?;48, 57, 67, 84, 88
How did Charlie die?;21, 24
How did Walter call William?;1, 18, 30, 35, 39
How Nina lost her arm?;36, 1, 79
Why is Reiden lake important?;36, 20, 30, 36, 58, 65, 69, 76
;
;
;
;
;
;
;
;
;
;
;
;, 
